CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-11 00:00,m,523,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-12 00:00,m,525.5,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-13 00:00,m,527,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-14 00:00,m,526,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-15 00:00,m,522,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-16 00:00,m,518.500000000002,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-17 00:00,m,513,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-18 00:00,m,510,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-19 00:00,m,505,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-20 00:00,m,499,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-21 00:00,m,496,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-22 00:00,m,492.000000000005,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-23 00:00,m,485.500000000012,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-24 00:00,m,482,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-25 00:00,m,477.800000000008,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-26 00:00,m,475.666666666676,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-27 00:00,m,468,Definitivo
